random_rank,pmid,pmcid,doi,publication_year,title,eligibility,screen_reason
95,41060983,PMC12511699,10.1177/10760296251386049,2025,Heparin Therapy was Associated with the Reduction of ICU Mortality in Geriatric Patients with Sepsis: A Retrospective Cohort Study.,included,focal medication exposure associated with a clinical outcome
96,41930132,PMC13039033,10.3389/fmed.2026.1790954,2026,Development and validation of a nomogram for suspected post-neurosurgical bacterial ventriculitis/meningitis.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
97,40926990,PMC12414977,10.3389/fphar.2025.1588978,2025,Association of early acetaminophen administration with mortality in surgical intensive care patients: a retrospective cohort study.,included,focal medication exposure associated with a clinical outcome
98,38788014,PMC11124755,10.1097/MD.0000000000038306,2024,Red cell distribution width to total serum calcium ratio and in-hospital mortality risk in patients with acute ischemic stroke: A MIMIC-IV retrospective analysis.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
99,39107765,PMC11302109,10.1186/s12967-024-05544-6,2024,Development and validation of novel interpretable survival prediction models based on drug exposures for severe heart failure during vulnerable period.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
100,39620137,PMC11607528,10.1016/j.isci.2024.111107,2024,Triglyceride index as a predictor of mortality after cardiac surgery.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
101,41639758,PMC12874766,10.1186/s12872-026-05544-y,2026,Study of the prognostic value of the systemic immune-inflammation index combined with the triglyceride-glucose index in coronary heart disease: a retrospective study based on the MIMIC database.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
102,41573392,PMC12819677,10.3389/fneur.2025.1691549,2025,Development of an interpretable machine learning model for predicting venous thromboembolism in intensive care unit patients with intracerebral hemorrhage.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
103,40050399,PMC11885567,10.1038/s41598-025-92415-9,2025,Glycemic variability and its association with short and long term clinical outcomes in critically ill patients with cerebral hemorrhage.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
104,41573720,PMC12819319,10.3389/fphar.2025.1715023,2025,Association between vancomycin therapeutic drug monitoring and improved clinical outcomes in critically ill patients receiving renal replacement therapy: a retrospective cohort study.,included,focal medication exposure associated with a clinical outcome
105,41693315,PMC12909767,10.1177/00368504261420611,2026,BUN and mortality in patients with heparin-induced thrombocytopenia: A retrospective cohort study.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
106,40199939,PMC11978879,10.1038/s41598-025-96202-4,2025,The relationship between the triglyceride-glucose (TyG) index and all-cause mortality in ICU patients with primary hypertension: a retrospective study.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
107,39455647,PMC11511869,10.1038/s41598-024-75784-5,2024,Knowledge graph driven medicine recommendation system using graph neural networks on longitudinal medical records.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
108,39011361,PMC11246852,10.3389/fneur.2024.1371827,2024,Associations of serum lactate and lactate clearance with delirium in the early stage of ICU: a retrospective cohort study of the MIMIC-IV database.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
109,41947218,PMC13169735,10.1186/s12967-026-08093-2,2026,Long-term enoxaparin use and osteoporosis risk: a real-world cohort study with integrative computational and network toxicology approaches.,included,focal medication exposure associated with a clinical outcome
110,41630066,PMC12952102,10.1186/s40560-026-00862-x,2026,Association between antithrombin levels and prognosis in patients with sepsis: a retrospective cohort study based on the MIMIC-IV and MIMIC-III databases.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
111,38603899,PMC11385457,10.1016/j.compbiomed.2024.108451,2024,Early prediction of long hospital stay for Intensive Care units readmission patients using medication information.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
112,41631939,PMC12955962,10.1097/CCM.0000000000006963,2026,Utilization of Intensive Care Interventions in Critically Ill Patients With Candidemia Versus Bacteremia: A Multicenter Retrospective Cohort Study.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
113,37340360,PMC10280861,10.1186/s12879-023-08384-9,2023,The correlation of hemoglobin and 28-day mortality in septic patients: secondary data mining using the MIMIC-IV database.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
114,41877216,PMC13020180,10.1186/s12933-025-03061-4,2026,Triglyceride-glucose index and mortality in critically ill patients with cardiovascular-kidney-metabolic syndrome stage 4.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
115,38844938,PMC11157750,10.1186/s12933-024-02293-0,2024,Association of the TyG index with prognosis in surgical intensive care patients: data from the MIMIC-IV.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
116,41249990,PMC12625647,10.1186/s12879-025-11963-7,2025,Association between early prophylactic heparin therapy and mortality in patients with septic shock secondary to respiratory infections: analysis based on MIMIC-IV database.,included,focal medication exposure associated with a clinical outcome
117,40400019,PMC12093854,10.1186/s40560-025-00797-9,2025,Laxative use and 28-day mortality in critically ill sepsis patients: a retrospective cohort study using MIMIC-IV (v3.1).,included,focal medication exposure associated with a clinical outcome
118,39833386,PMC11747252,10.1038/s41598-025-86746-w,2025,Association of TyG index with mortality at 28 days in sepsis patients in intensive care from MIMIC IV database.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
119,39223467,PMC11367872,10.1186/s12879-024-09789-w,2024,Optimal target mean arterial pressure for patients with sepsis-associated encephalopathy: a retrospective cohort study.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
120,41605594,PMC12853541,10.1136/bmjopen-2025-104916,2026,What is the ideal glucose range for a patient with sepsis in the ICU? A retrospective analysis of MIMIC-IV.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
121,41976981,PMC13073108,10.3390/jcm15072680,2026,"Retrospective Cohort Analysis of TyG, TyG-SI, and TyG-Lac Indices as Predictors of 360-Day Mortality in Critically Ill Ischemic Stroke Patients.",excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
122,37330498,PMC10276426,10.1186/s12933-023-01874-9,2023,Association of dynamic change of triglyceride-glucose index during hospital stay with all-cause mortality in critically ill patients: a retrospective cohort study from MIMIC IV2.0.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
123,41024021,PMC12482257,10.1186/s12944-025-02743-y,2025,Association between triglyceride-glucose index trajectories and in-hospital mortality in sepsis: a cohort study based on the MIMIC-IV database.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
124,38152042,PMC10960205,10.2196/45202,2024,A Deep Learning-Based Approach for Prediction of Vancomycin Treatment Monitoring: Retrospective Study Among Patients With Critical Illness.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
125,39915601,PMC11802796,10.1038/s41746-024-01426-9,2025,Predicting appropriateness of antibiotic treatment among ICU patients with hospital-acquired infection.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
126,40546281,PMC12179180,10.3389/fcimb.2025.1579558,2025,A machine learning model for robust prediction of sepsis-induced coagulopathy in critically ill patients with sepsis.,excluded,not a focal medication exposure-outcome study or prediction/algorithm-only study
