sample_order,random_rank,pmid,pmcid,doi,publication_year,title,medication_construct,source_layer,source_evidence,named_native_table_reported,database_identity_rule_reported,identity_evidence,time_origin_and_window_reported,time_evidence,event_semantics_reported,dose_or_route_reported,dose_route_evidence,fully_executable_exposure_operator,main_text_reviewed,supplements_linked_n,supplements_retrieved_n,supplement_status,article_specific_repositories_linked_n,article_specific_repositories_retrieved_n,article_specific_repo_status,coding_stage,primary_coders_n,independent_second_coder_complete
11,26,35600874,PMC9117634,10.3389/fphar.2022.898422,2022,Effects of Gastric Acid Secretion Inhibitors for Ventilator-Associated Pneumonia.,PPI versus H2RA,unspecified,medication use without a named source,False,False,drug classes only,True,during ICU admission,False,False,not specified,False,True,2,2,retrieved_and_reviewed,0,0,none_linked,main_text_plus_linked_supplements_and_repositories,1,False
12,32,40128664,PMC11931801,10.1186/s12876-025-03763-9,2025,Optimizing outcomes in acute pancreatitis: the impact of of heparin therapy duration on mortality in a multi-center retrospective study.,heparin treatment duration,administration,first heparin administration,False,False,clinical name only,True,hospital stay; typically within 24 h,False,False,"duration reported, not dose/route",False,True,0,0,none_linked,0,0,none_linked,main_text_plus_linked_supplements_and_repositories,1,False
13,34,37908905,PMC10613586,10.7759/cureus.46237,2023,A Retrospective Cohort Study of the Association of Inpatient Amlodipine Dose With Renal Complication Rates and Hospital Length of Stay.,amlodipine dose,administration,eMAR-derived tables,True,False,clinical name only,True,first 24 h after hospital admission,False,True,aggregate 5 mg versus 10 mg,False,True,0,0,none_linked,0,0,none_linked,main_text_plus_linked_supplements_and_repositories,1,False
14,41,38094120,PMC10716269,10.3389/fcvm.2023.1300839,2023,Vasopressors and inotropes in cardiogenic shock patients: an analysis of the MIMIC-IV database.,vasopressor/inotrope use,administration,use during ICU admission,False,False,five clinical drug names,True,during ICU admission,False,False,not specified,False,True,2,2,retrieved_and_reviewed,0,0,none_linked,main_text_plus_linked_supplements_and_repositories,1,False
15,46,41890797,PMC13012946,10.3389/fneur.2026.1753639,2026,Early prophylactic heparin use is associated with reduced mortality in patients with non-traumatic subarachnoid hemorrhage.,early prophylactic heparin,hybrid,eMAR and pharmacy records,True,False,"clinical name plus route, no join rule",True,first 72 h after hospital admission,False,True,subcutaneous route and total dose,False,True,1,1,retrieved_and_reviewed,0,0,none_linked,main_text_plus_linked_supplements_and_repositories,1,False
16,50,41261606,PMC12582845,10.1097/MD.0000000000045746,2025,Association between vasoactive drug use and 28-day in-hospital mortality in patients with septic shock in the intensive care unit: A retrospective study based on the MIMIC-IV database.,total vasoactive-agent exposure,administration,medication administration records,False,False,drug class only,False,septic-shock origin named but exposure window incomplete,False,True,cumulative dose analysed,False,True,0,0,none_linked,0,0,none_linked,main_text_plus_linked_supplements_and_repositories,1,False
17,53,41741602,PMC13031553,10.1038/s41598-026-40860-5,2026,Association of antibiotic type and timing with sepsis mortality using target trial emulation.,initial antibiotic type and timing,administration,first administered antibiotic,False,False,clinical antibiotic list,True,within 48 h of sepsis diagnosis with hourly strata,False,False,not specified,False,True,1,1,retrieved_and_reviewed,1,1,retrieved_and_reviewed,main_text_plus_linked_supplements_and_repositories,1,False
18,58,41398831,PMC12708175,10.1097/MD.0000000000046407,2025,Relationship between antibiotic use and mortality in critical care patients undergoing hip and knee arthroplasty: A propensity score matching analysis.,antibiotic use,administration,receipt of any antibiotic,False,False,drug class only,True,during first ICU admission,False,False,not specified,False,True,0,0,none_linked,0,0,none_linked,main_text_plus_linked_supplements_and_repositories,1,False
19,63,38961499,PMC11220947,10.1186/s13054-024-05011-0,2024,The impact of norepinephrine dose reporting heterogeneity on mortality prediction in septic shock patients.,norepinephrine dose,administration,dose stream/pump-derived administrations,False,False,clinical name only,True,first 24 h after septic-shock diagnosis,False,True,peak and diagnosis doses with salt conversion,False,True,5,5,retrieved_and_reviewed,0,0,none_linked,main_text_plus_linked_supplements_and_repositories,1,False
20,64,40083381,PMC11903409,10.3389/fphar.2025.1518716,2025,Unfractionated heparin may improve near-term survival in patients admitted to the ICU with sepsis attributed to pneumonia: an observational study using the MIMIC-IV database.,unfractionated heparin,order,medication management/pharmacy record,False,True,single pharmacy_id explicitly reported,False,no complete exposure window reported,False,True,injection formulation,False,True,3,3,retrieved_and_reviewed,0,0,generic_repository_only,main_text_plus_linked_supplements_and_repositories,1,False
21,65,41631998,PMC13105501,10.1097/JS9.0000000000004773,2026,"Delayed anticoagulation is associated with lower mortality in sepsis-induced coagulopathy: a large-scale, propensity-score-matched cohort study from MIMIC-IV.",early versus delayed anticoagulation,administration,medication administration records,False,False,"agent types named, no field/code rule",True,48-h ICU landmark,False,True,IV/SC routes and anticoagulant type,False,True,0,0,none_linked,0,0,none_linked,main_text_plus_linked_supplements_and_repositories,1,False
22,66,36578542,PMC9792095,10.3389/fphar.2022.1037893,2022,Association between different concentrations of human serum albumin and 28-day mortality in intensive care patients with sepsis: A propensity score matching analysis.,5% versus 25% albumin,administration,documented HSA receipt,False,False,clinical concentration labels,True,during ICU admission,False,True,5% versus 25% concentration,False,True,1,1,retrieved_and_reviewed,0,0,none_linked,main_text_plus_linked_supplements_and_repositories,1,False
23,70,42490849,PMC13375620,10.3389/fcimb.2026.1814760,2026,Association between pravastatin use and short-term mortality in ICU patients with sepsis: a retrospective propensity score-matched cohort study.,pravastatin use,order,prescriptions table,True,False,clinical name only,True,first 24 h after ICU admission,False,False,not specified,False,True,1,0,linked_unavailable,0,0,none_linked,main_text_plus_linked_supplements_and_repositories,1,False
24,79,39346559,PMC11427301,10.3389/fphar.2024.1402386,2024,Aspirin reduces the mortality risk of patients with community-acquired pneumonia: a retrospective propensity-matched analysis of the MIMIC-IV database.,aspirin exposure,order,oral aspirin prescription described as administered,False,False,clinical name only,True,first 3 days after ICU admission,False,True,oral route,False,True,1,1,retrieved_and_reviewed,0,0,none_linked,main_text_plus_linked_supplements_and_repositories,1,False
25,86,36593000,PMC9809246,10.1136/bmjopen-2022-069333,2023,Survival benefits of oral anticoagulation therapy in acute kidney injury patients with atrial fibrillation: a retrospective study from the MIMIC-IV database.,oral anticoagulation,administration,OAC administration,False,False,clinical class only,False,complete exposure window not reported,False,True,oral route,False,True,3,3,retrieved_and_reviewed,0,0,generic_repository_only,main_text_plus_linked_supplements_and_repositories,1,False
26,87,41593539,PMC12924432,10.1186/s12879-026-12682-3,2026,Impact of glucocorticoid therapy on short- and long-term mortality in immunocompromised patients with community-acquired pneumonia in the ICU: a retrospective cohort study.,intravenous glucocorticoids,administration,receipt of IV glucocorticoid therapy,False,False,clinical class only,True,within one week of admission,False,True,"IV route, timing, duration, daily dose",False,True,1,1,retrieved_and_reviewed,0,0,none_linked,main_text_plus_linked_supplements_and_repositories,1,False
27,88,39611174,PMC11602295,10.3389/fphar.2024.1458600,2024,Monitoring vancomycin blood concentrations reduces mortality risk in critically ill patients: a retrospective cohort study using the MIMIC-IV database.,vancomycin TDM strategy,administration,vancomycin administration plus TDM,False,False,clinical name only,True,during ICU hospitalization,False,True,intravenous route,False,True,3,3,retrieved_and_reviewed,0,0,none_linked,main_text_plus_linked_supplements_and_repositories,1,False
28,95,41060983,PMC12511699,10.1177/10760296251386049,2025,Heparin Therapy was Associated with the Reduction of ICU Mortality in Geriatric Patients with Sepsis: A Retrospective Cohort Study.,early prophylactic UFH,administration,UFH receipt,False,False,clinical name only,True,"early ICU treatment, analysed time-dependently",False,True,subcutaneous route and daily dose,False,True,0,0,none_linked,0,0,none_linked,main_text_plus_linked_supplements_and_repositories,1,False
29,97,40926990,PMC12414977,10.3389/fphar.2025.1588978,2025,Association of early acetaminophen administration with mortality in surgical intensive care patients: a retrospective cohort study.,early acetaminophen,order,prescriptions table,True,False,clinical name only,True,first 48 h after ICU admission,False,True,any form/route required,False,True,1,1,retrieved_and_reviewed,0,0,generic_repository_only,main_text_plus_linked_supplements_and_repositories,1,False
30,104,41573720,PMC12819319,10.3389/fphar.2025.1715023,2025,Association between vancomycin therapeutic drug monitoring and improved clinical outcomes in critically ill patients receiving renal replacement therapy: a retrospective cohort study.,vancomycin TDM strategy,administration,documented IV vancomycin plus TDM,False,False,clinical name only,True,during ICU stay,False,True,IV route and cumulative dose,False,True,1,1,retrieved_and_reviewed,0,0,none_linked,main_text_plus_linked_supplements_and_repositories,1,False
31,109,41947218,PMC13169735,10.1186/s12967-026-08093-2,2026,Long-term enoxaparin use and osteoporosis risk: a real-world cohort study with integrative computational and network toxicology approaches.,enoxaparin duration,hybrid,inputevents and prescriptions tables,True,False,clinical name only; no reconciliation rule,True,index hospitalization from first administration,False,True,"days, cumulative dose, frequency, daily dose",False,True,0,0,none_linked,1,1,retrieved_and_reviewed,main_text_plus_linked_supplements_and_repositories,1,False
32,116,41249990,PMC12625647,10.1186/s12879-025-11963-7,2025,Association between early prophylactic heparin therapy and mortality in patients with septic shock secondary to respiratory infections: analysis based on MIMIC-IV database.,early prophylactic heparin,administration,initial administration and subsequent doses,False,False,clinical name only,True,first 72 h after ICU admission,False,True,time to first dose and cumulative doses,False,True,5,5,retrieved_and_reviewed,0,0,none_linked,main_text_plus_linked_supplements_and_repositories,1,False
33,117,40400019,PMC12093854,10.1186/s40560-025-00797-9,2025,Laxative use and 28-day mortality in critically ill sepsis patients: a retrospective cohort study using MIMIC-IV (v3.1).,laxative type,administration,receipt of one of four laxatives,False,False,four clinical names only,True,during ICU stay,False,False,not specified,False,True,1,1,retrieved_and_reviewed,0,0,none_linked,main_text_plus_linked_supplements_and_repositories,1,False
34,127,36203769,PMC9530049,10.3389/fmed.2022.952611,2022,Appropriate empirical antifungal therapy is associated with a reduced mortality rate in intensive care unit patients with invasive fungal infection: A real-world retrospective study based on the MIMIC-IV database.,empirical antifungal therapy,unspecified,treatment status without a named medication source,False,False,antifungal names described but no executable rule,False,empirical timing not operationalized in the report,False,False,not specified,False,True,0,0,none_linked,0,0,none_linked,main_text_plus_linked_supplements_and_repositories,1,False
35,133,41071834,PMC12513587,10.1371/journal.pone.0333795,2025,Heparin improves the mortality of patients with non-pulmonary sepsis-associated ARDS: A MIMIC-IV database analysis based on propensity score matching.,heparin dose group,administration,supplementary SQL uses mimiciv_icu.inputevents for the heparin construct,True,True,supplementary SQL specifies inputevents itemid 225975 and explicit exclusion itemids,False,complete exposure window not reported,False,True,subcutaneous route and daily-dose groups,False,True,4,4,retrieved_and_reviewed,0,0,none_linked,main_text_plus_linked_supplements_and_repositories,1,False
36,134,40410920,PMC12102817,10.1186/s40001-025-02660-x,2025,Analysis of the heterogeneous treatment effect of vasoactive drug dosage and time on hospital mortality across different sepsis phenotypes: a retrospective cohort study.,vasoactive dose-time trajectory,administration,hourly vasoactive dose stream,False,False,"norepinephrine-equivalent construct, no field/code rule",True,0 to 72 h from initial vasoactive use,False,True,hourly norepinephrine-equivalent dose,False,True,1,1,retrieved_and_reviewed,0,0,none_linked,main_text_plus_linked_supplements_and_repositories,1,False
37,135,38116082,PMC10729002,10.3389/fphar.2023.1281235,2023,Impact of early heparin therapy on outcomes in patients with solid malignancy associated sepsis: a marginal structural model causal analyse.,early prophylactic heparin,administration,subcutaneous heparin receipt,False,False,clinical name only,True,first 24 h after ICU admission,False,True,subcutaneous prophylactic dose,False,True,1,1,retrieved_and_reviewed,0,0,none_linked,main_text_plus_linked_supplements_and_repositories,1,False
38,138,36168402,PMC9501718,10.1093/burnst/tkac029,2022,Early prophylactic anticoagulation with heparin alleviates mortality in critically ill patients with sepsis: a retrospective analysis from the MIMIC-IV database.,early prophylactic heparin,order,medical order system,False,False,clinical name/indication only,True,within 48 h after ICU admission,False,True,"5000 U subcutaneous, order start/end",False,True,1,1,retrieved_and_reviewed,0,0,none_linked,main_text_plus_linked_supplements_and_repositories,1,False
39,145,41069398,PMC12506791,10.2147/OAEM.S539104,2025,Early Prophylactic Anticoagulation and In-Hospital Mortality in Patients with Severe Acute Pancreatitis: A Retrospective Cohort Study.,early prophylactic anticoagulation,hybrid,administration verified against medical orders,False,False,clinical name/dose only,True,first 24 h after ICU admission,False,True,5000 U subcutaneous heparin,False,True,0,0,none_linked,0,0,none_linked,main_text_plus_linked_supplements_and_repositories,1,False
40,149,42138712,PMC13180173,10.1177/10760296261452851,2026,Direct Oral Anticoagulants Increase Overall but Not Major Bleeding in Critically Ill Chronic Kidney Disease Patients With Pulmonary Embolism.,DOAC versus warfarin,order,prescription records,False,False,clinical drug list only,True,more than 10 days during ICU stay,False,False,dose and route not specified,False,True,0,0,none_linked,0,0,none_linked,main_text_plus_linked_supplements_and_repositories,1,False
