sample_order,pmid,pmcid,doi,title,main_text_reviewed,supplements_linked_n,supplements_retrieved_n,supplements_text_reviewable_n,supplement_status,article_specific_repositories_linked_n,article_specific_repositories_retrieved_n,generic_repository_links_n,article_specific_repo_status,article_specific_repository_urls,generic_repository_urls
16,41261606,PMC12582845,10.1097/MD.0000000000045746,Association between vasoactive drug use and 28-day in-hospital mortality in patients with septic shock in the intensive care unit: A retrospective study based on the MIMIC-IV database.,True,0,0,0,none_linked,0,0,0,none_linked,,
17,41741602,PMC13031553,10.1038/s41598-026-40860-5,Association of antibiotic type and timing with sepsis mortality using target trial emulation.,True,1,1,1,retrieved_and_reviewed,1,1,0,retrieved_and_reviewed,https://github.com/mohuaifengw/SR1ef8ce959be9/blob/main/main.R,
18,41398831,PMC12708175,10.1097/MD.0000000000046407,Relationship between antibiotic use and mortality in critical care patients undergoing hip and knee arthroplasty: A propensity score matching analysis.,True,0,0,0,none_linked,0,0,0,none_linked,,
19,38961499,PMC11220947,10.1186/s13054-024-05011-0,The impact of norepinephrine dose reporting heterogeneity on mortality prediction in septic shock patients.,True,5,5,3,retrieved_and_reviewed,0,0,0,none_linked,,
20,40083381,PMC11903409,10.3389/fphar.2025.1518716,Unfractionated heparin may improve near-term survival in patients admitted to the ICU with sepsis attributed to pneumonia: an observational study using the MIMIC-IV database.,True,3,3,3,retrieved_and_reviewed,0,0,1,generic_repository_only,,https://github.com/MIT-LCP/
21,41631998,PMC13105501,10.1097/JS9.0000000000004773,"Delayed anticoagulation is associated with lower mortality in sepsis-induced coagulopathy: a large-scale, propensity-score-matched cohort study from MIMIC-IV.",True,0,0,0,none_linked,0,0,0,none_linked,,
22,36578542,PMC9792095,10.3389/fphar.2022.1037893,Association between different concentrations of human serum albumin and 28-day mortality in intensive care patients with sepsis: A propensity score matching analysis.,True,1,1,1,retrieved_and_reviewed,0,0,0,none_linked,,
23,42490849,PMC13375620,10.3389/fcimb.2026.1814760,Association between pravastatin use and short-term mortality in ICU patients with sepsis: a retrospective propensity score-matched cohort study.,True,1,0,0,linked_unavailable,0,0,0,none_linked,,
24,39346559,PMC11427301,10.3389/fphar.2024.1402386,Aspirin reduces the mortality risk of patients with community-acquired pneumonia: a retrospective propensity-matched analysis of the MIMIC-IV database.,True,1,1,1,retrieved_and_reviewed,0,0,0,none_linked,,
25,36593000,PMC9809246,10.1136/bmjopen-2022-069333,Survival benefits of oral anticoagulation therapy in acute kidney injury patients with atrial fibrillation: a retrospective study from the MIMIC-IV database.,True,3,3,3,retrieved_and_reviewed,0,0,1,generic_repository_only,,https://github.com/MIT-LCP/mimic-iv
26,41593539,PMC12924432,10.1186/s12879-026-12682-3,Impact of glucocorticoid therapy on short- and long-term mortality in immunocompromised patients with community-acquired pneumonia in the ICU: a retrospective cohort study.,True,1,1,1,retrieved_and_reviewed,0,0,0,none_linked,,
27,39611174,PMC11602295,10.3389/fphar.2024.1458600,Monitoring vancomycin blood concentrations reduces mortality risk in critically ill patients: a retrospective cohort study using the MIMIC-IV database.,True,3,3,1,retrieved_and_reviewed,0,0,0,none_linked,,
28,41060983,PMC12511699,10.1177/10760296251386049,Heparin Therapy was Associated with the Reduction of ICU Mortality in Geriatric Patients with Sepsis: A Retrospective Cohort Study.,True,0,0,0,none_linked,0,0,0,none_linked,,
29,40926990,PMC12414977,10.3389/fphar.2025.1588978,Association of early acetaminophen administration with mortality in surgical intensive care patients: a retrospective cohort study.,True,1,1,1,retrieved_and_reviewed,0,0,1,generic_repository_only,,https://github.com/MIT-LCP/mimic-iv
30,41573720,PMC12819319,10.3389/fphar.2025.1715023,Association between vancomycin therapeutic drug monitoring and improved clinical outcomes in critically ill patients receiving renal replacement therapy: a retrospective cohort study.,True,1,1,1,retrieved_and_reviewed,0,0,0,none_linked,,
31,41947218,PMC13169735,10.1186/s12967-026-08093-2,Long-term enoxaparin use and osteoporosis risk: a real-world cohort study with integrative computational and network toxicology approaches.,True,0,0,0,none_linked,1,1,0,retrieved_and_reviewed,https://github.com/Liuzhenjiangdoctor/Long-Term-Enoxaparin-Use-and-Osteoporosis-Risk,
32,41249990,PMC12625647,10.1186/s12879-025-11963-7,Association between early prophylactic heparin therapy and mortality in patients with septic shock secondary to respiratory infections: analysis based on MIMIC-IV database.,True,5,5,1,retrieved_and_reviewed,0,0,0,none_linked,,
33,40400019,PMC12093854,10.1186/s40560-025-00797-9,Laxative use and 28-day mortality in critically ill sepsis patients: a retrospective cohort study using MIMIC-IV (v3.1).,True,1,1,1,retrieved_and_reviewed,0,0,0,none_linked,,
34,36203769,PMC9530049,10.3389/fmed.2022.952611,Appropriate empirical antifungal therapy is associated with a reduced mortality rate in intensive care unit patients with invasive fungal infection: A real-world retrospective study based on the MIMIC-IV database.,True,0,0,0,none_linked,0,0,0,none_linked,,
35,41071834,PMC12513587,10.1371/journal.pone.0333795,Heparin improves the mortality of patients with non-pulmonary sepsis-associated ARDS: A MIMIC-IV database analysis based on propensity score matching.,True,4,4,4,retrieved_and_reviewed,0,0,0,none_linked,,
36,40410920,PMC12102817,10.1186/s40001-025-02660-x,Analysis of the heterogeneous treatment effect of vasoactive drug dosage and time on hospital mortality across different sepsis phenotypes: a retrospective cohort study.,True,1,1,1,retrieved_and_reviewed,0,0,0,none_linked,,
37,38116082,PMC10729002,10.3389/fphar.2023.1281235,Impact of early heparin therapy on outcomes in patients with solid malignancy associated sepsis: a marginal structural model causal analyse.,True,1,1,1,retrieved_and_reviewed,0,0,0,none_linked,,
38,36168402,PMC9501718,10.1093/burnst/tkac029,Early prophylactic anticoagulation with heparin alleviates mortality in critically ill patients with sepsis: a retrospective analysis from the MIMIC-IV database.,True,1,1,0,retrieved_and_reviewed,0,0,0,none_linked,,
39,41069398,PMC12506791,10.2147/OAEM.S539104,Early Prophylactic Anticoagulation and In-Hospital Mortality in Patients with Severe Acute Pancreatitis: A Retrospective Cohort Study.,True,0,0,0,none_linked,0,0,0,none_linked,,
40,42138712,PMC13180173,10.1177/10760296261452851,Direct Oral Anticoagulants Increase Overall but Not Major Bleeding in Critically Ill Chronic Kidney Disease Patients With Pulmonary Embolism.,True,0,0,0,none_linked,0,0,0,none_linked,,
