sample_order,random_rank,pmid,pmcid,doi,publication_year,title,supplement_status,article_specific_repo_status,article_specific_repository_urls,coder_id,review_date,main_text_reviewed,supplement_reviewed,linked_repo_reviewed,source_layer,named_native_table_reported,database_identity_rule_reported,time_origin_and_window_reported,event_semantics_reported,dose_or_route_reported,evidence_location,coder_notes
11,26,35600874,PMC9117634,10.3389/fphar.2022.898422,2022,Effects of Gastric Acid Secretion Inhibitors for Ventilator-Associated Pneumonia.,retrieved_and_reviewed,none_linked,,,,,,,,,,,,,,
12,32,40128664,PMC11931801,10.1186/s12876-025-03763-9,2025,Optimizing outcomes in acute pancreatitis: the impact of of heparin therapy duration on mortality in a multi-center retrospective study.,none_linked,none_linked,,,,,,,,,,,,,,
13,34,37908905,PMC10613586,10.7759/cureus.46237,2023,A Retrospective Cohort Study of the Association of Inpatient Amlodipine Dose With Renal Complication Rates and Hospital Length of Stay.,none_linked,none_linked,,,,,,,,,,,,,,
14,41,38094120,PMC10716269,10.3389/fcvm.2023.1300839,2023,Vasopressors and inotropes in cardiogenic shock patients: an analysis of the MIMIC-IV database.,retrieved_and_reviewed,none_linked,,,,,,,,,,,,,,
15,46,41890797,PMC13012946,10.3389/fneur.2026.1753639,2026,Early prophylactic heparin use is associated with reduced mortality in patients with non-traumatic subarachnoid hemorrhage.,retrieved_and_reviewed,none_linked,,,,,,,,,,,,,,
16,50,41261606,PMC12582845,10.1097/MD.0000000000045746,2025,Association between vasoactive drug use and 28-day in-hospital mortality in patients with septic shock in the intensive care unit: A retrospective study based on the MIMIC-IV database.,none_linked,none_linked,,,,,,,,,,,,,,
17,53,41741602,PMC13031553,10.1038/s41598-026-40860-5,2026,Association of antibiotic type and timing with sepsis mortality using target trial emulation.,retrieved_and_reviewed,retrieved_and_reviewed,https://github.com/mohuaifengw/SR1ef8ce959be9/blob/main/main.R,,,,,,,,,,,,,
18,58,41398831,PMC12708175,10.1097/MD.0000000000046407,2025,Relationship between antibiotic use and mortality in critical care patients undergoing hip and knee arthroplasty: A propensity score matching analysis.,none_linked,none_linked,,,,,,,,,,,,,,
19,63,38961499,PMC11220947,10.1186/s13054-024-05011-0,2024,The impact of norepinephrine dose reporting heterogeneity on mortality prediction in septic shock patients.,retrieved_and_reviewed,none_linked,,,,,,,,,,,,,,
20,64,40083381,PMC11903409,10.3389/fphar.2025.1518716,2025,Unfractionated heparin may improve near-term survival in patients admitted to the ICU with sepsis attributed to pneumonia: an observational study using the MIMIC-IV database.,retrieved_and_reviewed,generic_repository_only,,,,,,,,,,,,,,
21,65,41631998,PMC13105501,10.1097/JS9.0000000000004773,2026,"Delayed anticoagulation is associated with lower mortality in sepsis-induced coagulopathy: a large-scale, propensity-score-matched cohort study from MIMIC-IV.",none_linked,none_linked,,,,,,,,,,,,,,
22,66,36578542,PMC9792095,10.3389/fphar.2022.1037893,2022,Association between different concentrations of human serum albumin and 28-day mortality in intensive care patients with sepsis: A propensity score matching analysis.,retrieved_and_reviewed,none_linked,,,,,,,,,,,,,,
23,70,42490849,PMC13375620,10.3389/fcimb.2026.1814760,2026,Association between pravastatin use and short-term mortality in ICU patients with sepsis: a retrospective propensity score-matched cohort study.,linked_unavailable,none_linked,,,,,,,,,,,,,,
24,79,39346559,PMC11427301,10.3389/fphar.2024.1402386,2024,Aspirin reduces the mortality risk of patients with community-acquired pneumonia: a retrospective propensity-matched analysis of the MIMIC-IV database.,retrieved_and_reviewed,none_linked,,,,,,,,,,,,,,
25,86,36593000,PMC9809246,10.1136/bmjopen-2022-069333,2023,Survival benefits of oral anticoagulation therapy in acute kidney injury patients with atrial fibrillation: a retrospective study from the MIMIC-IV database.,retrieved_and_reviewed,generic_repository_only,,,,,,,,,,,,,,
26,87,41593539,PMC12924432,10.1186/s12879-026-12682-3,2026,Impact of glucocorticoid therapy on short- and long-term mortality in immunocompromised patients with community-acquired pneumonia in the ICU: a retrospective cohort study.,retrieved_and_reviewed,none_linked,,,,,,,,,,,,,,
27,88,39611174,PMC11602295,10.3389/fphar.2024.1458600,2024,Monitoring vancomycin blood concentrations reduces mortality risk in critically ill patients: a retrospective cohort study using the MIMIC-IV database.,retrieved_and_reviewed,none_linked,,,,,,,,,,,,,,
28,95,41060983,PMC12511699,10.1177/10760296251386049,2025,Heparin Therapy was Associated with the Reduction of ICU Mortality in Geriatric Patients with Sepsis: A Retrospective Cohort Study.,none_linked,none_linked,,,,,,,,,,,,,,
29,97,40926990,PMC12414977,10.3389/fphar.2025.1588978,2025,Association of early acetaminophen administration with mortality in surgical intensive care patients: a retrospective cohort study.,retrieved_and_reviewed,generic_repository_only,,,,,,,,,,,,,,
30,104,41573720,PMC12819319,10.3389/fphar.2025.1715023,2025,Association between vancomycin therapeutic drug monitoring and improved clinical outcomes in critically ill patients receiving renal replacement therapy: a retrospective cohort study.,retrieved_and_reviewed,none_linked,,,,,,,,,,,,,,
31,109,41947218,PMC13169735,10.1186/s12967-026-08093-2,2026,Long-term enoxaparin use and osteoporosis risk: a real-world cohort study with integrative computational and network toxicology approaches.,none_linked,retrieved_and_reviewed,https://github.com/Liuzhenjiangdoctor/Long-Term-Enoxaparin-Use-and-Osteoporosis-Risk,,,,,,,,,,,,,
32,116,41249990,PMC12625647,10.1186/s12879-025-11963-7,2025,Association between early prophylactic heparin therapy and mortality in patients with septic shock secondary to respiratory infections: analysis based on MIMIC-IV database.,retrieved_and_reviewed,none_linked,,,,,,,,,,,,,,
33,117,40400019,PMC12093854,10.1186/s40560-025-00797-9,2025,Laxative use and 28-day mortality in critically ill sepsis patients: a retrospective cohort study using MIMIC-IV (v3.1).,retrieved_and_reviewed,none_linked,,,,,,,,,,,,,,
34,127,36203769,PMC9530049,10.3389/fmed.2022.952611,2022,Appropriate empirical antifungal therapy is associated with a reduced mortality rate in intensive care unit patients with invasive fungal infection: A real-world retrospective study based on the MIMIC-IV database.,none_linked,none_linked,,,,,,,,,,,,,,
35,133,41071834,PMC12513587,10.1371/journal.pone.0333795,2025,Heparin improves the mortality of patients with non-pulmonary sepsis-associated ARDS: A MIMIC-IV database analysis based on propensity score matching.,retrieved_and_reviewed,none_linked,,,,,,,,,,,,,,
36,134,40410920,PMC12102817,10.1186/s40001-025-02660-x,2025,Analysis of the heterogeneous treatment effect of vasoactive drug dosage and time on hospital mortality across different sepsis phenotypes: a retrospective cohort study.,retrieved_and_reviewed,none_linked,,,,,,,,,,,,,,
37,135,38116082,PMC10729002,10.3389/fphar.2023.1281235,2023,Impact of early heparin therapy on outcomes in patients with solid malignancy associated sepsis: a marginal structural model causal analyse.,retrieved_and_reviewed,none_linked,,,,,,,,,,,,,,
38,138,36168402,PMC9501718,10.1093/burnst/tkac029,2022,Early prophylactic anticoagulation with heparin alleviates mortality in critically ill patients with sepsis: a retrospective analysis from the MIMIC-IV database.,retrieved_and_reviewed,none_linked,,,,,,,,,,,,,,
39,145,41069398,PMC12506791,10.2147/OAEM.S539104,2025,Early Prophylactic Anticoagulation and In-Hospital Mortality in Patients with Severe Acute Pancreatitis: A Retrospective Cohort Study.,none_linked,none_linked,,,,,,,,,,,,,,
40,149,42138712,PMC13180173,10.1177/10760296261452851,2026,Direct Oral Anticoagulants Increase Overall but Not Major Bleeding in Critically Ill Chronic Kidney Disease Patients With Pulmonary Embolism.,none_linked,none_linked,,,,,,,,,,,,,,
